trace_name,allocator,rebalance_strategy,miss_ratio,n_rebalanced_slabs,allocFactor,base_dir,cacheSizeMB,compressed,cpu_requirement,enableLookaside,generator,ignoreLargeReq,lru2qColdPct,lru2qHotPct,lruRefreshSec,maxAllocSize,memory_requirement,minAllocSize,miss_ratio_percent_reduction_from_disabled,miss_ratio_percent_reduction_from_lru_disabled,miss_ratio_reduction_from_disabled,miss_ratio_reduction_from_lru_disabled,monitor_interval,moveOnSlabRelease,n_alloc_failures,numOps,numThreads,onlySetIfMiss,poolRebalanceIntervalSec,poolResizeIntervalSec,prepopulateCache,purpose,rebalanceDiffRatio,rebalanceStrategy,rebalanced_slabs,repeatOpCount,repeatTraceReplay,replayGeneratorConfig,slab_cnt,slab_size,tag,throughput,timestampFactor,traceFileName,trace_file,tuned_improvement,tuned_percent_improvement,useTraceTimer,uuid,wsr,wss_mb,zstdTrace,countColdTailHitsOnly,enableTailHitsTracking,mhMovingAverageParam
202206_kv_traces_all.csv.oracleGeneral.zst,LRU,disabled,0.1082477320222472,0,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_metakv,632,True,2.5,True,oracle-general-replay,True,0.0,100.0,0,4194304,948.0,72.0,0.0,0.0,0.0,0.0,50000.0,False,32,1644762386,1,False,1,0,True,efficiency,,disabled,0,True,False,{'ampFactor': 1},156,4,,759676.4695488174,1,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,,,False,202206_kv_traces_all.csv.oracleGeneral.zst-788eb4300ed85710612255f3fd1a7644,0.01,62176.12014198303,True,,,
202206_kv_traces_all.csv.oracleGeneral.zst,LRU2Q,disabled,0.1014019504699446,0,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_metakv,632,True,2.5,True,oracle-general-replay,True,30.0,30.0,0,4194304,948.0,72.0,0.0,0.0632418012314165,0.0,0.0068457815523026,50000.0,False,32,1644762386,1,False,1,0,True,efficiency,,disabled,0,True,False,{'ampFactor': 1},156,4,,800139.6324513316,1,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,,,False,202206_kv_traces_all.csv.oracleGeneral.zst-bf1b0be0c61bc73fbe720e5bfaba412a,0.01,62176.12014198303,True,,,
202206_kv_traces_all.csv.oracleGeneral.zst,S3FIFO,disabled,0.1009251046916876,0,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_metakv,632,True,2.5,True,oracle-general-replay,True,,,0,4194304,948.0,72.0,0.0,0.0676469353561572,0.0,0.0073226273305595,50000.0,False,32,1644762386,1,False,1,0,True,efficiency,,disabled,0,True,False,{'ampFactor': 1},156,4,,1207831.9642422737,1,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,,,False,202206_kv_traces_all.csv.oracleGeneral.zst-1f1e46652c75889e6f26f752904c92cd,0.01,62176.12014198303,True,,,
202206_kv_traces_all.csv.oracleGeneral.zst,TINYLFU,disabled,0.1079956427213675,0,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_metakv,632,True,2.5,True,oracle-general-replay,True,,,0,4194304,948.0,72.0,0.0,0.0023288183148993,0.0,0.0002520893008797,50000.0,False,32,1644762386,1,False,1,0,True,efficiency,,disabled,0,True,False,{'ampFactor': 1},156,4,,737412.0237712403,1,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,,,False,202206_kv_traces_all.csv.oracleGeneral.zst-19aaba32bd09c3fab5f35eabf0ef55c9,0.01,62176.12014198303,True,,,
202206_kv_traces_all.csv.oracleGeneral.zst,LRU,hits,0.0864976656877414,16526,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_metakv,632,True,2.5,True,oracle-general-replay,True,0.0,100.0,0,4194304,948.0,72.0,0.2009286100334709,0.2009286100334709,0.0217500663345057,0.0217500663345057,50000.0,False,1,1644762386,1,False,1,0,True,efficiency,0.1,hits,0,True,False,{'ampFactor': 1},156,4,,999681.376371875,1,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,,,False,202206_kv_traces_all.csv.oracleGeneral.zst-66b7f435cdcf7e09548541178a94a1b5,0.01,62176.12014198303,True,,,
202206_kv_traces_all.csv.oracleGeneral.zst,LRU2Q,hits,0.0854441664013102,16046,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_metakv,632,True,2.5,True,oracle-general-replay,True,30.0,30.0,0,4194304,948.0,72.0,0.1573715692319381,0.2106609089625123,0.0159577840686344,0.022803565620937,50000.0,False,6,1644762386,1,False,1,0,True,efficiency,0.1,hits,0,True,False,{'ampFactor': 1},156,4,,1126424.5059819762,1,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,,,False,202206_kv_traces_all.csv.oracleGeneral.zst-0ae5839822eaf545f5d49f3ba7cb62c1,0.01,62176.12014198303,True,,,
202206_kv_traces_all.csv.oracleGeneral.zst,S3FIFO,hits,0.086433740344546,16749,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_metakv,632,True,2.5,True,oracle-general-replay,True,,,0,4194304,948.0,72.0,0.1435853288575796,0.2015191567544156,0.0144913643471416,0.0218139916777012,50000.0,False,1,1644762386,1,False,1,0,True,efficiency,0.1,hits,0,True,False,{'ampFactor': 1},156,4,,722911.9709856095,1,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,,,False,202206_kv_traces_all.csv.oracleGeneral.zst-eee726776720ba31128df7bc5fb4abfb,0.01,62176.12014198303,True,,,
202206_kv_traces_all.csv.oracleGeneral.zst,TINYLFU,hits,0.0865227963694447,16777,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_metakv,632,True,2.5,True,oracle-general-replay,True,,,0,4194304,948.0,72.0,0.1988306732645086,0.2006964510659458,0.0214728463519228,0.0217249356528025,50000.0,False,1,1644762386,1,False,1,0,True,efficiency,0.1,hits,0,True,False,{'ampFactor': 1},156,4,,918831.2431074168,1,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202206_kv_traces_all.csv.oracleGeneral.zst,,,False,202206_kv_traces_all.csv.oracleGeneral.zst-d6a763112aeb55c6b581169723c4672b,0.01,62176.12014198303,True,,,
202210_kv_traces_all_sort.csv.oracleGeneral.zst,LRU,disabled,0.0999958781180457,0,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_metakv,864,True,2.5,True,oracle-general-replay,True,0.0,100.0,0,4194304,1296.0,72.0,0.0,0.0,0.0,0.0,50000.0,False,0,1482478166,1,False,1,0,True,efficiency,,disabled,0,True,False,{'ampFactor': 1},214,4,,79961.96042418237,1,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,,,False,202210_kv_traces_all_sort.csv.oracleGeneral.zst-17e332d63c9a29975c65a1d356107ce9,0.01,85258.10765361786,True,,,
202210_kv_traces_all_sort.csv.oracleGeneral.zst,LRU2Q,disabled,0.0937368807089736,0,1.25,/home/cc/CacheLib/slab-rebalance-bench/exp/work_dir_metakv,864,True,2.5,True,oracle-general-replay,True,30.0,30.0,0,4194304,1296.0,72.0,0.0,0.0625925540819126,0.0,0.0062589974090721,50000.0,False,0,1482478166,1,False,1,0,True,efficiency,,disabled,0,True,False,{'ampFactor': 1},214,4,,786153.3544366173,1,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,/home/cc/CacheLib/ftp.pdl.cmu.edu/pub/datasets/twemcacheWorkload/cacheDatasets/metaKV/202210_kv_traces_all_sort.csv.oracleGeneral.zst,,,False,202210_kv_traces_all_sort.csv.oracleGeneral.zst-5486d3bcb21bdd0e4ed5eb8e3bf95b77,0.01,85258.10765361786,True,,,
